ticker,contract,type,strike,expiration,last,volume,openInterest,addedAt
PLTR,.PLTR260807C140,CALL,140.00,2026-08-07,2.40,1398,7463,2026-07-29 12:51:09
PLTR,.PLTR260821C125,CALL,125.00,2026-08-21,8.95,2485,5758,2026-07-29 12:51:09
PLTR,.PLTR260821C130,CALL,130.00,2026-08-21,6.85,563,9719,2026-07-29 12:51:09
PLTR,.PLTR260821C140,CALL,140.00,2026-08-21,3.80,853,22358,2026-07-29 12:51:09
PLTR,.PLTR260731P116,PUT,116.00,2026-07-31,0.40,747,1387,2026-07-29 12:51:09
PLTR,.PLTR260731P117,PUT,117.00,2026-07-31,0.42,1941,4774,2026-07-29 12:51:09
PLTR,.PLTR260731P118,PUT,118.00,2026-07-31,0.62,3933,4002,2026-07-29 12:51:09
PLTR,.PLTR260731P119,PUT,119.00,2026-07-31,0.75,1522,4727,2026-07-29 12:51:09
PLTR,.PLTR260731P120,PUT,120.00,2026-07-31,0.96,3989,4961,2026-07-29 12:51:09
PLTR,.PLTR260731P121,PUT,121.00,2026-07-31,1.30,1663,2364,2026-07-29 12:51:09
PLTR,.PLTR260731P122,PUT,122.00,2026-07-31,1.57,1750,1792,2026-07-29 12:51:09
PLTR,.PLTR260731P123,PUT,123.00,2026-07-31,1.92,2754,3341,2026-07-29 12:51:09
PLTR,.PLTR260731P124,PUT,124.00,2026-07-31,2.30,2307,1928,2026-07-29 12:51:09
PLTR,.PLTR260731P125,PUT,125.00,2026-07-31,2.86,2248,3078,2026-07-29 12:51:09
COIN,.COIN260731C170,CALL,170.00,2026-07-31,5.20,505,2825,2026-07-29 12:51:09
COIN,.COIN260731C185,CALL,185.00,2026-07-31,1.55,614,2364,2026-07-29 12:51:09
COIN,.COIN260807C172.5,CALL,172.50,2026-08-07,6.63,655,269,2026-07-29 12:51:09
COIN,.COIN260821C200,CALL,200.00,2026-08-21,3.34,1414,8665,2026-07-29 12:51:09
COIN,.COIN260821C210,CALL,210.00,2026-08-21,2.20,1353,3028,2026-07-29 12:51:09
GOOGL,.GOOGL260729C295,CALL,295.00,2026-07-29,40.31,635,55,2026-07-29 12:51:09
GOOGL,.GOOGL260729C330,CALL,330.00,2026-07-29,6.04,2927,1995,2026-07-29 12:51:09
GOOGL,.GOOGL260729C332.5,CALL,332.50,2026-07-29,3.87,7530,1547,2026-07-29 12:51:09
